,All,WHO,%
2020-01-01,550,3,0.5454545454545455
2020-01-02,1168,2,0.17123287671232876
2020-01-03,1147,1,0.08718395815170009
2020-01-04,1143,1,0.08748906386701663
2020-01-05,1232,0,0.0
2020-01-06,1197,3,0.2506265664160401
2020-01-07,1218,3,0.24630541871921183
2020-01-08,1343,1,0.07446016381236038
2020-01-09,1423,5,0.35137034434293746
2020-01-10,1744,3,0.17201834862385323
2020-01-11,2761,2,0.07243752263672583
2020-01-12,2382,1,0.041981528127623846
2020-01-13,2009,8,0.3982080637132902
2020-01-14,1758,8,0.4550625711035267
2020-01-15,1787,5,0.27979854504756574
2020-01-16,1562,3,0.19206145966709345
2020-01-17,1474,4,0.27137042062415195
2020-01-18,1309,11,0.8403361344537815
2020-01-19,1426,3,0.21037868162692847
2020-01-20,1665,18,1.0810810810810811
2020-01-21,1839,40,2.1750951604132682
2020-01-22,1676,77,4.594272076372316
2020-01-23,1912,57,2.981171548117155
2020-01-24,2052,82,3.996101364522417
2020-01-25,2359,94,3.984739296311997
2020-01-26,2240,40,1.7857142857142856
2020-01-27,2049,42,2.049780380673499
2020-01-28,2468,111,4.4975688816855754
2020-01-29,2143,50,2.3331777881474567
2020-01-30,2405,103,4.282744282744283
2020-01-31,2180,132,6.055045871559633
2020-02-01,2322,81,3.488372093023256
2020-02-02,2469,51,2.0656136087484813
2020-02-03,2810,53,1.886120996441281
2020-02-04,2684,96,3.5767511177347244
2020-02-05,2613,84,3.214695752009185
2020-02-06,2819,69,2.447676481021639
2020-02-07,2873,63,2.1928297946397493
2020-02-08,2393,62,2.590890096113665
2020-02-09,2275,60,2.6373626373626373
2020-02-10,2455,134,5.458248472505091
2020-02-11,2465,90,3.6511156186612577
2020-02-12,2480,61,2.459677419354839
2020-02-13,2477,74,2.9874848607186113
2020-02-14,2409,75,3.1133250311332503
2020-02-15,2097,69,3.290414878397711
2020-02-16,2271,56,2.4658740642888595
2020-02-17,2017,35,1.7352503718393655
2020-02-18,2023,45,2.2244191794364805
2020-02-19,2156,32,1.4842300556586272
2020-02-20,2244,45,2.0053475935828877
2020-02-21,2223,27,1.214574898785425
2020-02-22,2194,41,1.8687329079307202
2020-02-23,2496,22,0.8814102564102564
2020-02-24,2436,21,0.8620689655172413
2020-02-25,2379,48,2.01765447667087
2020-02-26,2334,37,1.5852613538988862
2020-02-27,2332,30,1.2864493996569468
2020-02-28,2148,39,1.8156424581005588
2020-02-29,2155,53,2.459396751740139
2020-03-01,2011,24,1.1934361014420687
2020-03-02,1980,28,1.4141414141414141
2020-03-03,2026,51,2.5172754195459035
2020-03-04,2109,45,2.1337126600284493
2020-03-05,2162,30,1.3876040703052728
2020-03-06,2092,44,2.1032504780114722
2020-03-07,1,0,0.0
2020-03-08,2030,48,2.3645320197044337
2020-03-09,2027,44,2.1706956092747904
2020-03-10,2215,80,3.611738148984198
2020-03-11,2285,35,1.5317286652078774
2020-03-12,2208,75,3.3967391304347823
2020-03-13,1,0,0.0
2020-03-14,2385,70,2.9350104821802936
2020-03-15,2390,37,1.5481171548117154
2020-03-16,2366,39,1.6483516483516485
2020-03-17,2501,52,2.0791683326669332
2020-03-18,2659,42,1.5795411808950734
2020-03-19,2506,48,1.9154030327214684
2020-03-20,2441,57,2.3351085620647276
2020-03-21,709,12,1.692524682651622
2020-03-22,2341,35,1.49508756941478
2020-03-23,2251,28,1.2438916037316747
2020-03-24,2164,35,1.6173752310536045
2020-03-25,2252,33,1.4653641207815276
2020-03-26,2249,33,1.4673188083592708
2020-03-27,2258,59,2.6129317980513727
2020-03-28,2149,48,2.233597021870638
2020-03-29,2037,32,1.5709376534118802
2020-03-30,2202,39,1.7711171662125342
2020-03-31,2368,55,2.322635135135135
2020-04-01,2279,59,2.588854760860026
2020-04-02,2242,50,2.230151650312221
2020-04-03,2137,31,1.4506317267197004
2020-04-04,2364,38,1.6074450084602367
2020-04-05,2284,30,1.3134851138353765
2020-04-06,2391,44,1.8402342116269343
2020-04-07,2391,21,0.8782936010037641
2020-04-08,2349,54,2.2988505747126435
2020-04-09,2540,334,13.149606299212598
2020-04-10,2263,162,7.158638974812197
2020-04-11,2502,316,12.629896083133493
2020-04-12,2633,162,6.152677554120775
2020-04-13,2375,97,4.08421052631579
2020-04-14,2373,72,3.034134007585335
2020-04-15,293,24,8.19112627986348
